,Date,User,Tweet
4113,2022-12-19 21:36:08+00:00,HoodKidMadCiteh,"I'll die on this hill but this guy could do everything Ronaldo could do. If he had the same determination he'd match him for output.
This is exactly why players say they want to be Ronaldo and not Messi. Being Messi is impossible hard work can get you Ronaldo levels. https://t.co/BxnY0Inms6"
4114,2022-12-19 21:36:04+00:00,Giresse999,@siuuxx24 @TheEuropeanLad What color is Ronaldo World Cup 😂😂😂
4115,2022-12-19 21:36:04+00:00,DavidDeGoat1,@RazvanLUFC @karl74643119 @Goat7ii You worry about Ronaldo’s job?😭😭😭bro he can run the city you live in!
4116,2022-12-19 21:36:03+00:00,the_Timii,"For your mental well-being, don't enter this user's page if you're Ronaldo fan.

           Signed, Management."
4117,2022-12-19 21:36:03+00:00,Rohanseernam,"@mvsrapp Ah for messi there's no separate stats like penalty goals and friendlies
If Ronaldo did that then there would be specifics.
F*** medias favourite boy"
4118,2022-12-19 21:35:58+00:00,TCPAMRIT,"@ESPNUK This is what I mean everybody just doesn't respect Ronaldo and hates him so much, nobody would be able to work as hard as he did just look at his childhood you people should be happy living a good life."
4119,2022-12-19 21:35:57+00:00,JusticeEdoleyi,@sshhawn @AdamDickinson01 @FelixJo14331168 @ykykyk123123 @prathik_prasad @mutd_chris @Evertxn He’s a journalist? Omfg Ronaldo should never say a word to the press again
4120,2022-12-19 21:35:56+00:00,nawaazant,Ronaldo fans trying to get GOAT points after Messi's World Cup Win https://t.co/NxcmdjS8Ez
4121,2022-12-19 21:35:53+00:00,LichaProp,@theMadridZone @Romain_Molina Zidane is overrated. He’s only relevant because of Ronaldo
4122,2022-12-19 21:35:52+00:00,and_oscar_goes,@StokeyyG2 Don’t spread. Ronaldo FC will like the shit out of the egg post
4123,2022-12-19 21:35:52+00:00,8ward_newgate,"@UTDTrey You will never accept Messi The Goats. it suppose to end the debate, Messi got the most prestigious prize in football and yet people still mocking and keep on downgraded Messi. But Nevermind, Because thats Ronaldo Attitude, PATHETIC😂 
Instagram followers is prestigious for them"
4124,2022-12-19 21:35:49+00:00,AbdiazizArafat,"@markgoldbridge Messi and Ronaldo had 1 thing that propelled them which mbappe currently doesn't have
1.Extremely fierce rivalry for everything..trophies goals balon dors etc their rivalry even became political..it wasn't about football alone anymore but every other thing even social media posts"
4125,2022-12-19 21:35:48+00:00,TheDonne7,"@FIFAWorldCup @Argentina @Budweiser @budfootball Fifa clearly picked their favourite to win &amp; helped him along the way

5 penalties awarded to Messi is shocking, no excuses for the countless times he never got carded neither

Ronaldo truly was fighting against the corrupt establishments of European/World football"
4126,2022-12-19 21:35:45+00:00,naewqe,@GwalioS @rizzy1932 @StokeyyG2 Dribbling isn’t everything. Ronaldo still better
4127,2022-12-19 21:35:40+00:00,Blaqboynextdoor,@MindHaste They said Ronaldo was better than Messi
4128,2022-12-19 21:35:38+00:00,victorydonscrew,"@ihe_chi_ @Makwazyxkintone @iDanDizzy Yoo
The fans just make it toxic
Ronaldo doesn't have manners either 🤷"
